start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(2, 3):(0, 0)|(2, 3):2:0xc","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,1,1,1
"(2, 3):(0, 0)|(2, 3):2:0xd","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,1,1,2
"(2, 3):(0, 0)|(2, 3):2:0xe","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,1,1,2
"(2, 3):(0, 0)|(2, 3):2:0xf","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,2,3,3,4,4
"(2, 3):(0, 0)|(2, 3):1:0x15","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,3,4,2
"(2, 3):(0, 0)|(2, 3):1:0x17","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,2,3,7,7,11
"(2, 3):(0, 0)|(2, 3):1:0x1c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,2
"(2, 3):(0, 0)|(2, 3):1:0x1d","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,2,3,7,7,3
"(2, 3):(0, 0)|(2, 3):1:0x1e","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,2,3,7,7,3
"(2, 3):(0, 0)|(2, 3):1:0x1f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x21","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,1
"(2, 3):(0, 0)|(2, 3):0:0x23","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,2
"(2, 3):(0, 0)|(2, 3):0:0x25","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,2
"(2, 3):(0, 0)|(2, 3):0:0x27","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x29","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,2
"(2, 3):(0, 0)|(2, 3):0:0x2a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,2
"(2, 3):(0, 0)|(2, 3):0:0x2b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,2,3,7,7,3
"(2, 3):(0, 0)|(2, 3):0:0x2c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,2
"(2, 3):(0, 0)|(2, 3):0:0x2d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,1
"(2, 3):(0, 0)|(2, 3):0:0x2e","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,2,3,7,7,3
"(2, 3):(0, 0)|(2, 3):0:0x2f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x31","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,2
"(2, 3):(0, 0)|(2, 3):0:0x33","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,2,3,7,7,3
"(2, 3):(0, 0)|(2, 3):0:0x35","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,2,3,7,7,3
"(2, 3):(0, 0)|(2, 3):0:0x37","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x39","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x3a","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,2,3,7,7,11
"(2, 3):(0, 0)|(2, 3):0:0x3b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x3c","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x3d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x3e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,2,3,7,7,4
"(2, 3):(0, 0)|(2, 3):0:0x3f","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,2,3,7,7,2
