start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"2,4,0x0","1,1,0x0",extinct,0,2,2,1,1,1
"2,3,0x1","1,1,0x0",extinct,0,2,2,1,1,1
"2,2,0x2","1,1,0x0",extinct,0,2,2,1,1,1
"2,2,0x3","1,1,0x0",extinct,0,2,2,1,1,1
"2,1,0x4","1,1,0x0",extinct,0,2,2,1,1,1
"2,1,0x5","1,1,0x0",extinct,0,2,2,1,1,1
"2,1,0x6","1,1,0x0",extinct,0,2,2,1,1,1
"2,1,0x7","2,0,0xf",stable,0,2,2,2,2,2
"2,0,0x8","1,1,0x0",extinct,0,2,2,1,1,1
"2,0,0x9","1,1,0x0",extinct,0,2,2,1,1,1
"2,0,0xa","1,1,0x0",extinct,0,2,2,1,1,1
"2,0,0xb","2,0,0xf",stable,0,2,2,2,2,2
"2,0,0xc","1,1,0x0",extinct,0,2,2,1,1,1
"2,0,0xd","2,0,0xf",stable,0,2,2,2,2,2
"2,0,0xe","2,0,0xf",stable,0,2,2,2,2,2
