start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(1, 4):(0, 0)|(1, 4):0:0xf","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,4,4,3,4,3
"(2, 4):(0, 0)|(2, 4):3:0x1b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):3:0x1d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(2, 4):(0, 0)|(2, 4):3:0x1e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):3:0x1f","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,4,4,7,7,11
"(2, 4):(0, 0)|(2, 4):2:0x2b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,3
"(2, 4):(0, 0)|(2, 4):2:0x2d","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):2:0x2f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(2, 4):(0, 0)|(2, 4):2:0x39","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):2:0x3a","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,3
"(2, 4):(0, 0)|(2, 4):2:0x3b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,3
"(2, 4):(0, 0)|(2, 4):2:0x3c","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):2:0x3d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):2:0x3e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):2:0x3f","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,4,4,3,3,3
"(2, 4):(0, 0)|(2, 4):1:0x4b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):1:0x4d","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,3
"(2, 4):(0, 0)|(2, 4):1:0x4f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(2, 4):(0, 0)|(2, 4):1:0x59","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(2, 4):(0, 0)|(2, 4):1:0x5a","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):1:0x5b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):1:0x5d","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):1:0x5e","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,4,4,4,4,5
"(2, 4):(0, 0)|(2, 4):1:0x5f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,5
"(2, 4):(0, 0)|(2, 4):1:0x69","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):1:0x6b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):1:0x6d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):1:0x6f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,4
"(2, 4):(0, 0)|(2, 4):1:0x79","(23, 35):(0, 0)|(23, 35):17:0x8000000c10600001820c00000000000000000000000000001c000001c44000004500000000684101042a0a6032820048024000409481000a0aa0a01f40d817c3804a4038000d58000003c7800000cd98000031b1800003006000003c7800000306000",survival,0,4,4,23,35,99
"(2, 4):(0, 0)|(2, 4):1:0x7b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,4
"(2, 4):(0, 0)|(2, 4):1:0x7d","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,4,4,3,3,5
"(2, 4):(0, 0)|(2, 4):1:0x7e","(4, 4):(0, 0)|(4, 4):2:0x2994",oscillator,2,4,4,4,4,3
"(2, 4):(0, 0)|(2, 4):1:0x7f","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,4,4,13,13,20
"(2, 4):(0, 0)|(2, 4):0:0x87","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):0:0x8b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(2, 4):(0, 0)|(2, 4):0:0x8d","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):0:0x8f","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,4,4,7,7,11
"(2, 4):(0, 0)|(2, 4):0:0x93","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):0:0x95","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(2, 4):(0, 0)|(2, 4):0:0x97","(23, 35):(0, 0)|(23, 35):13:0xc18000003c7800000c018000031b1800003366000003c78000003560003804a40387d03605f00a0aa0a001025204000480240082980ca0a84101042c000000014400000447000000700000000000000000000000000000608300000c10600000020000",survival,0,4,4,23,35,99
"(2, 4):(0, 0)|(2, 4):0:0x9b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,3
"(2, 4):(0, 0)|(2, 4):0:0x9d","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,3
"(2, 4):(0, 0)|(2, 4):0:0x9f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,15
"(2, 4):(0, 0)|(2, 4):0:0xa3","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,3
"(2, 4):(0, 0)|(2, 4):0:0xa5","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):0:0xa7","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,4,4,4,4,5
"(2, 4):(0, 0)|(2, 4):0:0xab","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):0:0xad","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):0:0xaf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,5
"(2, 4):(0, 0)|(2, 4):0:0xb3","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,3
"(2, 4):(0, 0)|(2, 4):0:0xb7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,4
"(2, 4):(0, 0)|(2, 4):0:0xbb","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):0:0xbf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,4
"(2, 4):(0, 0)|(2, 4):0:0xc3","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(2, 4):(0, 0)|(2, 4):0:0xc7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):0:0xcb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(2, 4):(0, 0)|(2, 4):0:0xcf","(3, 3):(0, 0)|(3, 3):1:0xab",stable,0,4,4,3,3,3
"(2, 4):(0, 0)|(2, 4):0:0xd7","(3, 3):(0, 0)|(3, 3):0:0x1aa",stable,0,4,4,3,3,5
"(2, 4):(0, 0)|(2, 4):0:0xdf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,4
"(2, 4):(0, 0)|(2, 4):0:0xe7","(4, 4):(0, 0)|(4, 4):1:0x4992",oscillator,2,4,4,4,4,3
"(2, 4):(0, 0)|(2, 4):0:0xef","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,4,4,13,13,20
"(2, 4):(0, 0)|(2, 4):0:0xff","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,4,4,4,4,2
"(3, 4):(0, 0)|(3, 4):3:0x10b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(3, 4):(0, 0)|(3, 4):3:0x10d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(3, 4):(0, 0)|(3, 4):3:0x10e","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,5
"(3, 4):(0, 0)|(3, 4):3:0x10f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(3, 4):(0, 0)|(3, 4):3:0x119","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,3
"(3, 4):(0, 0)|(3, 4):3:0x11a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(3, 4):(0, 0)|(3, 4):3:0x11b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,4
"(3, 4):(0, 0)|(3, 4):3:0x11c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(3, 4):(0, 0)|(3, 4):3:0x11d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(3, 4):(0, 0)|(3, 4):3:0x11e","(22, 54):(0, 0)|(22, 54):4:0x8000000000000700000000000016000000000000080c000000000e6030000000003380000000000048000000000001f000000000000100000000000000000000e1c20007000000190800360000604c600158000181c0180440000000006009000000000280380004000075000000081800a4c00000e060003f000000000000300000000060280000000001808000000000000380",survival,0,4,4,22,54,99
"(3, 4):(0, 0)|(3, 4):3:0x11f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,5
"(3, 4):(0, 0)|(3, 4):3:0x129","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,2
"(3, 4):(0, 0)|(3, 4):3:0x12a","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,4,4,3,4,5
"(3, 4):(0, 0)|(3, 4):3:0x12b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(3, 4):(0, 0)|(3, 4):3:0x12c","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,3
"(3, 4):(0, 0)|(3, 4):3:0x12d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(3, 4):(0, 0)|(3, 4):3:0x12e","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,4,4,4,4,4
"(3, 4):(0, 0)|(3, 4):3:0x12f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(3, 4):(0, 0)|(3, 4):3:0x138","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,2
"(3, 4):(0, 0)|(3, 4):3:0x139","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,4,4,7,7,11
"(3, 4):(0, 0)|(3, 4):3:0x13a","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,4,4,4,4,6
"(3, 4):(0, 0)|(3, 4):3:0x13b","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,4,4,13,13,19
"(3, 4):(0, 0)|(3, 4):3:0x13c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
