start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 5):(0, 0)|(4, 5):2:0x3ffff","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,32
"(4, 5):(0, 0)|(4, 5):1:0x5ffff","(3, 3):(0, 0)|(3, 3):0:0x19c",spaceship,4,5,5,3,3,13
"(4, 5):(0, 0)|(4, 5):1:0x6ffff","(37, 13):(0, 0)|(37, 13):3:0x3801ba0eac0c62232913651010c00000000000000000000000000000038004004000000000300180000000000006002800e004802203101180700380",survival,0,5,5,37,13,99
"(4, 5):(0, 0)|(4, 5):1:0x7bfff","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,8
"(4, 5):(0, 0)|(4, 5):1:0x7dfff","(18, 12):(0, 0)|(18, 12):1:0x44084080080024030000200700901c1800e40c00c00d01900e0040",survival,0,5,5,18,12,99
"(4, 5):(0, 0)|(4, 5):1:0x7efff","(9, 10):(0, 0)|(9, 10):6:0xc030000000000d8390180",stable,0,5,5,9,10,42
"(4, 5):(0, 0)|(4, 5):1:0x7f7ff","(23, 10):(0, 0)|(23, 10):0:0x300cc0300000000000000000000000000000000000000000000300cc03",stable,0,5,5,23,10,86
"(4, 5):(0, 0)|(4, 5):1:0x7fbff","(50, 24):(0, 0)|(50, 24):3:0x1c00006c0200810780832f40c040600145c02129800c00000000000000000000000000000000000c00000c0000000000000000000000000000000000000000000000000050000030000020000000000c00000c00000000000000007060000060000000001c0000220c00360c004200006c00004400003800000000000000001806002469001f69000f06000560000440000300000300",survival,0,5,5,50,24,99
"(4, 5):(0, 0)|(4, 5):1:0x7fdff","(13, 23):(0, 0)|(13, 23):6:0x100000500000a00000800000000060300120900180c0000000002000c0a002414002810002",stable,0,5,5,13,23,45
"(4, 5):(0, 0)|(4, 5):1:0x7feff","(19, 1):(0, 0)|(19, 1):0:0x70007",oscillator,2,5,5,19,1,51
"(4, 5):(0, 0)|(4, 5):1:0x7ff7f","(23, 10):(0, 0)|(23, 10):0:0x300cc0300000000000000000000000000000000000000000000300cc03",stable,0,5,5,23,10,86
"(4, 5):(0, 0)|(4, 5):1:0x7ffbf","(23, 10):(0, 0)|(23, 10):0:0x300cc0300000000000000000000000000000000000000000000300cc03",stable,0,5,5,23,10,86
"(4, 5):(0, 0)|(4, 5):1:0x7ffdf","(50, 24):(0, 0)|(50, 24):3:0x1c00006c0200810780832f40c040600145c02129800c00000000000000000000000000000000000c00000c0000000000000000000000000000000000000000000000000050000030000020000000000c00000c00000000000000007060000060000000001c0000220c00360c004200006c00004400003800000000000000001806002469001f69000f06000560000440000300000300",survival,0,5,5,50,24,99
"(4, 5):(0, 0)|(4, 5):1:0x7fff7","(38, 26):(0, 0)|(38, 26):22:0x3800000200000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004010031c0400c101009340000061c741000000400108c00040300010700000000000000000000000000000000003000070c0006a000028800008a00002b00000700000",survival,0,5,5,38,26,99
"(4, 5):(0, 0)|(4, 5):1:0x7fffb","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
"(4, 5):(0, 0)|(4, 5):1:0x7fffd","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
"(4, 5):(0, 0)|(4, 5):0:0x9ffff","(6, 9):(0, 0)|(6, 9):1:0x10545a2a080038",oscillator,2,5,5,6,9,13
