start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 5):(0, 0)|(4, 5):1:0x7ffff","(23, 10):(0, 0)|(23, 10):0:0x300cc0300000000000000000000000000000000000000000000300cc03",stable,0,5,5,23,10,86
"(4, 5):(0, 0)|(4, 5):0:0xbffff","(12, 7):(0, 0)|(12, 7):2:0x38020c18200e000102040",oscillator,2,5,5,12,7,42
"(4, 5):(0, 0)|(4, 5):0:0xfbfff","(12, 5):(0, 0)|(12, 5):0:0xc6000114a200318",stable,0,5,5,12,5,27
"(4, 5):(0, 0)|(4, 5):0:0xfdfff","(14, 17):(0, 0)|(14, 17):5:0x18c0129006306000f0006000000000000000018003c0018318025200c60",stable,0,5,5,14,17,48
"(5, 5):(0, 0)|(5, 5):4:0x13ffff","(14, 14):(0, 0)|(14, 14):12:0x8005001400200000000000000000000000018009001800",stable,0,5,5,14,14,57
"(5, 5):(0, 0)|(5, 5):4:0x15ffff","(26, 19):(0, 0)|(26, 19):17:0x1000030000a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000060000",survival,0,5,5,26,19,99
"(5, 5):(0, 0)|(5, 5):4:0x16ffff","(22, 27):(0, 0)|(22, 27):3:0x40000014000006c0000048000006000300003076000606e07001d80a001801c00000000000000000000000000000000000001c0000000000000000000000c00000180001800000300000",survival,0,5,5,22,27,99
"(5, 5):(0, 0)|(5, 5):4:0x177fff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,12
"(5, 5):(0, 0)|(5, 5):4:0x17bfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x17dfff","(31, 21):(0, 0)|(31, 21):7:0xe0000080004200000400011000248000080000000000000000000000000000000000000000000000000183003226018a30098c8130191700751041181040d14515980cc000000050000000001c0000e00",survival,0,5,5,31,21,99
"(5, 5):(0, 0)|(5, 5):4:0x17efff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,15
"(5, 5):(0, 0)|(5, 5):4:0x17f7ff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,32
"(5, 5):(0, 0)|(5, 5):4:0x17fbff","(50, 24):(0, 0)|(50, 24):3:0x1c00006c0200810780832f40c040600145c02129800c00000000000000000000000000000000000c00000c0000000000000000000000000000000000000000000000000050000030000020000000000c00000c00000000000000007060000060000000001c0000220c00360c004200006c00004400003800000000000000001806002469001f69000f06000560000440000300000300",survival,0,5,5,50,24,99
"(5, 5):(0, 0)|(5, 5):4:0x17fdff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x17feff","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,16
"(5, 5):(0, 0)|(5, 5):4:0x17ff7f","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,26
"(5, 5):(0, 0)|(5, 5):4:0x17ffbf","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,26
"(5, 5):(0, 0)|(5, 5):4:0x17ffdf","(50, 24):(0, 0)|(50, 24):3:0x1c00006c0200810780832f40c040600145c02129800c00000000000000000000000000000000000c00000c0000000000000000000000000000000000000000000000000050000030000020000000000c00000c00000000000000007060000060000000001c0000220c00360c004200006c00004400003800000000000000001806002469001f69000f06000560000440000300000300",survival,0,5,5,50,24,99
"(5, 5):(0, 0)|(5, 5):4:0x17ffef","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):4:0x17fff7","(24, 50):(0, 0)|(24, 50):43:0x180000000000090000000003024000000000c06000000300000002000060c00681c000203001b098000000000036000000000edc0000000e03334000030561f0480000c114b0000000025128048000008d4400c0000020e0000000000000003600000000000400000000000c10600000000304180000000080000000000010800000000004800000000000e00000000000",survival,0,5,5,24,50,99
"(5, 5):(0, 0)|(5, 5):4:0x17fffb","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x17fffd","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x17fffe","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(5, 5):(0, 0)|(5, 5):4:0x19ffff","(26, 30):(0, 0)|(26, 30):9:0x70000000c0000000000000000000010000000e000000480000008024000000980000041800000f00000e30000024100004704403a9807030f8104082e0a003080440012021024380480a060120380000000000000000000400000028000000c00",survival,0,5,5,26,30,99
"(5, 5):(0, 0)|(5, 5):4:0x1affff","(3, 7):(0, 0)|(3, 7):5:0xc1f0",oscillator,2,5,5,3,7,17
"(5, 5):(0, 0)|(5, 5):4:0x1b7fff","(37, 13):(0, 0)|(37, 13):7:0x382ec6ae318188844a14d840400600000000000000000000000000e0040010000000000000006003000000000000c00a00e00900880460310070038",survival,0,5,5,37,13,99
"(5, 5):(0, 0)|(5, 5):4:0x1bbfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x1bdfff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,41
"(5, 5):(0, 0)|(5, 5):4:0x1befff","(24, 15):(0, 0)|(24, 15):0:0x8001000200000000000000000030009000c080028009000c00000003800000000000000000000000c002400300",oscillator,2,5,5,24,15,82
"(5, 5):(0, 0)|(5, 5):4:0x1bf7ff","(6, 4):(0, 0)|(6, 4):0:0xe00033",oscillator,2,5,5,6,4,15
"(5, 5):(0, 0)|(5, 5):4:0x1bfbff","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,20
"(5, 5):(0, 0)|(5, 5):4:0x1bfdff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x1bfeff","(28, 28):(0, 0)|(28, 28):8:0xc2000009500001010000140000009c000000100000010000001000000000010000062804006600e000601d000c00180041000002100000000000001800c00d800c002000000000006000000900301860c481800ce8000008800000600000060000",survival,0,5,5,28,28,99
"(5, 5):(0, 0)|(5, 5):4:0x1bff7f","(24, 15):(0, 0)|(24, 15):0:0x8001000200000000000000000030009000c080028009000c00000003800000000000000000000000c002400300",oscillator,2,5,5,24,15,82
"(5, 5):(0, 0)|(5, 5):4:0x1bffbf","(24, 15):(0, 0)|(24, 15):0:0x8001000200000000000000000030009000c080028009000c00000003800000000000000000000000c002400300",oscillator,2,5,5,24,15,82
"(5, 5):(0, 0)|(5, 5):4:0x1bffdf","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,20
"(5, 5):(0, 0)|(5, 5):4:0x1bffef","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):4:0x1bfff7","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,5,5,3,3,24
"(5, 5):(0, 0)|(5, 5):4:0x1bfffb","(7, 12):(0, 0)|(7, 12):2:0x200c0e00e0110930be024",survival,0,5,5,7,12,99
"(5, 5):(0, 0)|(5, 5):4:0x1bfffd","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x1bfffe","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
"(5, 5):(0, 0)|(5, 5):4:0x1cffff","(23, 23):(0, 0)|(23, 23):13:0x800002800005800003000006e00067b00078d00200a008d0001ba00008800000000000800002c018158032e41809903011a0006a4000550000240000700000400",survival,0,5,5,23,23,99
"(5, 5):(0, 0)|(5, 5):4:0x1d7fff","(37, 13):(0, 0)|(37, 13):7:0x382ec6ae318188844a14d840400600000000000000000000000000e0040010000000000000006003000000000000c00a00e00900880460310070038",survival,0,5,5,37,13,99
"(5, 5):(0, 0)|(5, 5):4:0x1dbfff","(17, 32):(0, 0)|(17, 32):18:0x200000005000007030000088000000c4000000020000000a00020044000500a0020900900506207005005014020090130000600a800000018000000c0000000c0000",survival,0,5,5,17,32,99
"(5, 5):(0, 0)|(5, 5):4:0x1ddfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,18
"(5, 5):(0, 0)|(5, 5):4:0x1defff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,18
"(5, 5):(0, 0)|(5, 5):4:0x1df7ff","(31, 20):(0, 0)|(31, 20):14:0x3000000031000290201cc201c000080000c0000c360e8e20e7c4483f0c780076c0038c000000738c0076c00c7800483f00e7c40e8e200c3600c000080001c0001cc202902031000000000030",survival,0,5,5,31,20,99
"(5, 5):(0, 0)|(5, 5):4:0x1dfbff","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,20
"(5, 5):(0, 0)|(5, 5):4:0x1dfdff","(17, 32):(0, 0)|(17, 32):18:0x200000005000007030000088000000c4000000020000000a00020044000500a0020900900506207005005014020090130000600a800000018000000c0000000c0000",survival,0,5,5,17,32,99
