start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(2, 5):(0, 0)|(2, 5):4:0x3f","(10, 7):(0, 0)|(10, 7):6:0x8102000000000070",oscillator,2,5,5,10,7,42
"(2, 5):(0, 0)|(2, 5):3:0x5f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(2, 5):(0, 0)|(2, 5):3:0x77","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(2, 5):(0, 0)|(2, 5):3:0x7b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(2, 5):(0, 0)|(2, 5):3:0x7d","(26, 39):(0, 0)|(26, 39):2:0x8000000006c00000000d830000000a0300000021000000005a0010000084065000005001b00001b0014000036000000001000080000000210000018003000003005c00000000700000000040000000000000000004000000000800000000100000000000000000071c0000000000000000010000040002000028000400003",survival,0,5,5,26,39,99
"(2, 5):(0, 0)|(2, 5):3:0x7e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(2, 5):(0, 0)|(2, 5):2:0xb7","(3, 3):(0, 0)|(3, 3):0:0x1aa",stable,0,5,5,3,3,5
"(2, 5):(0, 0)|(2, 5):2:0xbb","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(2, 5):(0, 0)|(2, 5):2:0xbd","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,4
"(2, 5):(0, 0)|(2, 5):2:0xbe","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,5
"(2, 5):(0, 0)|(2, 5):2:0xd7","(3, 3):(0, 0)|(3, 3):0:0x1aa",stable,0,5,5,3,3,5
"(2, 5):(0, 0)|(2, 5):2:0xdb","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,5
"(2, 5):(0, 0)|(2, 5):2:0xdd","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,4
"(2, 5):(0, 0)|(2, 5):2:0xf3","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(2, 5):(0, 0)|(2, 5):2:0xf5","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,5
"(2, 5):(0, 0)|(2, 5):2:0xf6","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,5
"(2, 5):(0, 0)|(2, 5):2:0xf9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(2, 5):(0, 0)|(2, 5):2:0xfa","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,5
"(2, 5):(0, 0)|(2, 5):1:0x137","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(2, 5):(0, 0)|(2, 5):1:0x13b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,11
"(2, 5):(0, 0)|(2, 5):1:0x13d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,17
